Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,100pF,C1790
C10,0805,1,100pF,C1790
C11,0805,1,100pF,C1790
C12,0805,1,100pF,C1790
C13,0805,1,100pF,C1790
C14,0805,1,100pF,C1790
C15,0805,1,100pF,C1790
C16,0805,1,100pF,C1790
C2,0805,1,100pF,C1790
C3,0805,1,100pF,C1790
C4,0805,1,100pF,C1790
C5,0805,1,100pF,C1790
C6,0805,1,100pF,C1790
C7,0805,1,100pF,C1790
C8,0805,1,100pF,C1790
C9,0805,1,100pF,C1790
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",SOT-23,16,BAV99,C2500
D17,D_MiniMELF,1,ZMM5V6-M,C8062
D18,SOT-23,1,BAT54C,C37704
"J1, J2, J3, J4, J5, J6, J7, J8, J9","TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal",9,Screw_Terminal_01x03,
J10,CUI_PJ-002AH,1,PJ-002AH,C2961147
J11,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Female,
J12,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,Conn_01x04_Male,C131334
J13,PinSocket_2x07_P2.54mm_Vertical,1,Conn_02x07_Odd_Even,
"J14, J15",PinSocket_2x10_P2.54mm_Vertical,2,Conn_02x10_Odd_Even,
Q1,TO-220-3_Vertical,1,FQP27P06,C462764
Q2,TO-220-3_Vertical,1,IRLB8721PBF,C153222
R1,0805,1,100,C17408
R10,0805,1,100,C17408
R11,0805,1,100,C17408
R12,0805,1,100,C17408
R13,0805,1,100,C17408
R14,0805,1,100,C17408
R15,0805,1,100,C17408
R16,0805,1,100,C17408
R17,0805,1,100,C17408
R18,0805,1,100,C17408
R19,0805,1,10K,C17414
R2,0805,1,100,C17408
R20,0805,1,4K7,C17673
R21,0805,1,4K7,C17673
R3,0805,1,100,C17408
R4,0805,1,100,C17408
R5,0805,1,100,C17408
R6,0805,1,100,C17408
R7,0805,1,100,C17408
R8,0805,1,100,C17408
R9,0805,1,100,C17408
SW1,SW_PUSH_6mm_H4.3mm,1,SW_Push,C5143663
U1,Converter_DCDC_TRACO_TSR-1_THT,1,TSR_1-2465,
U2,SSOP-28_5.3x10.2mm_P0.65mm,1,MCP23017_SS,C506653
